"","carrier","flight","tailnum","origin","dest","distance","departure","scheduled_departure","arrival","scheduled_arrival"
"1","WN",1716,"N421LV","LGA","ATL",762,"07.11.2013 06:00:00 Uhr","07.11.2013 06:00:00 Uhr","07.11.2013 08:26:00 Uhr","07.11.2013 08:25:00 Uhr"
"2","AA",178,"N3DDAA","JFK","BOS",187,"30.10.2013 12:52:00 Uhr","30.10.2013 12:50:00 Uhr","30.10.2013 13:56:00 Uhr","30.10.2013 14:00:00 Uhr"
"3","DL",1585,"N348NB","LGA","MCO",950,"18.12.2013 17:23:00 Uhr","18.12.2013 17:15:00 Uhr","18.12.2013 20:08:00 Uhr","18.12.2013 20:20:00 Uhr"
"4","WN",3494,"N262WN","EWR","MDW",711,"20.11.2013 20:29:00 Uhr","20.11.2013 20:30:00 Uhr","20.11.2013 21:41:00 Uhr","20.11.2013 22:05:00 Uhr"
"5","DL",2231,"N330NW","LGA","DTW",502,"21.10.2013 16:20:00 Uhr","21.10.2013 16:25:00 Uhr","21.10.2013 18:18:00 Uhr","21.10.2013 18:31:00 Uhr"
"6","B6",27,"N637JB","EWR","MCO",937,"07.11.2013 08:52:00 Uhr","07.11.2013 09:00:00 Uhr","07.11.2013 11:39:00 Uhr","07.11.2013 11:57:00 Uhr"
"7","EV",4580,"N14916","EWR","MKE",725,"29.09.2013 15:19:00 Uhr","29.09.2013 15:29:00 Uhr","29.09.2013 16:39:00 Uhr","29.09.2013 16:49:00 Uhr"
"8","EV",5207,"N738EV","LGA","MKE",738,"21.12.2013 15:26:00 Uhr","21.12.2013 15:30:00 Uhr","21.12.2013 16:54:00 Uhr","21.12.2013 17:10:00 Uhr"
"9","9E",2910,"N294PQ","JFK","CVG",589,"07.11.2013 16:50:00 Uhr","07.11.2013 16:50:00 Uhr","07.11.2013 19:10:00 Uhr","07.11.2013 19:06:00 Uhr"
"10","US",2183,"N766US","LGA","DCA",214,"31.03.2013 16:52:00 Uhr","31.03.2013 17:00:00 Uhr","31.03.2013 18:10:00 Uhr","31.03.2013 18:21:00 Uhr"
"11","EV",6054,"N13913","EWR","IAD",212,"14.09.2013 12:49:00 Uhr","14.09.2013 12:53:00 Uhr","14.09.2013 13:52:00 Uhr","14.09.2013 14:13:00 Uhr"
"12","MQ",3199,"N531MQ","LGA","CLT",544,"09.09.2013 16:06:00 Uhr","09.09.2013 15:55:00 Uhr","09.09.2013 18:01:00 Uhr","09.09.2013 17:55:00 Uhr"
"13","VX",407,"N626VA","JFK","LAX",2475,"30.06.2013 09:40:00 Uhr","30.06.2013 09:25:00 Uhr","30.06.2013 12:16:00 Uhr","30.06.2013 12:20:00 Uhr"
"14","EV",3852,"N12921","EWR","BTV",266,"21.06.2013 14:01:00 Uhr","21.06.2013 13:40:00 Uhr","21.06.2013 15:14:00 Uhr","21.06.2013 14:56:00 Uhr"
