"rt","recall","stimuli","accuracy","set_size","trial_type","trial_index","time_elapsed","internal_node_id","stimulus"
"6010","J,Q,R","J,Q,R","3","3","operation-span-recall","9","77137","0.0-3.0-1.0",""
"3885","Q,P,V,K","Q,P,V,K","4","4","operation-span-recall","19","86684","0.0-3.0-1.1",""
"5375","P,S,H,V,J","P,S,H,V,J","5","5","operation-span-recall","31","98189","0.0-3.0-1.2",""
"1880","","","1","","html-button-operationspan","34","109763","0.0-5.0-0.0","<div style=""font-size:46px;"">2 - 1 = 1<br><br><br><br></div>"
"1313","","","1","","html-button-operationspan","36","112087","0.0-5.0-0.1","<div style=""font-size:46px;"">9 - 2 = 5<br><br><br><br></div>"
"2822","","","1","","html-button-operationspan","38","115927","0.0-5.0-0.2","<div style=""font-size:46px;"">4 + 9 = 15<br><br><br><br></div>"
"1159","","","1","","html-button-operationspan","40","118095","0.0-5.0-0.3","<div style=""font-size:46px;"">8 + 4 = 12<br><br><br><br></div>"
"2262","","","1","","html-button-operationspan","42","121366","0.0-5.0-0.4","<div style=""font-size:46px;"">2 - 1 = 2<br><br><br><br></div>"
"1397","","","1","","html-button-operationspan","46","145043","0.0-7.0-0.0-1.0","<div style=""font-size:46px;"">6 - 2 = 4<br><br><br><br></div>"
"1369","","","1","","html-button-operationspan","49","147436","0.0-7.0-0.0-1.1","<div style=""font-size:46px;"">2 - 1 = 0<br><br><br><br></div>"
"1164","","","1","","html-button-operationspan","52","149611","0.0-7.0-0.0-1.2","<div style=""font-size:46px;"">5 - 4 = 2<br><br><br><br></div>"
"4013","S,J,R","S,J,R","3","3","operation-span-recall","54","153630","0.0-7.0-1.0",""
"1171","","","1","","html-button-operationspan","57","157367","0.0-7.0-0.1-1.3","<div style=""font-size:46px;"">1 - 1 = 1<br><br><br><br></div>"
"1584","","","1","","html-button-operationspan","60","159961","0.0-7.0-0.1-1.4","<div style=""font-size:46px;"">10 - 6 = 5<br><br><br><br></div>"
"1520","","","1","","html-button-operationspan","63","162497","0.0-7.0-0.1-1.5","<div style=""font-size:46px;"">5 - 3 = 1<br><br><br><br></div>"
"1187","","","1","","html-button-operationspan","66","164693","0.0-7.0-0.1-1.6","<div style=""font-size:46px;"">2 - 1 = 1<br><br><br><br></div>"
"6661","V,J,R,H","V,H,K,F","1","4","operation-span-recall","68","171360","0.0-7.0-1.1",""
"2981","","","1","","html-button-operationspan","72","182940","0.0-9.0-0.0-1.0","<div style=""font-size:46px;"">4 - 3 = 3<br><br><br><br></div>"
"1174","","","1","","html-button-operationspan","75","185130","0.0-9.0-0.0-1.1","<div style=""font-size:46px;"">10 - 1 = 9<br><br><br><br></div>"
"1062","","","1","","html-button-operationspan","78","187208","0.0-9.0-0.0-1.2","<div style=""font-size:46px;"">7 - 2 = 3<br><br><br><br></div>"
"1123","","","1","","html-button-operationspan","81","189337","0.0-9.0-0.0-1.3","<div style=""font-size:46px;"">5 + 10 = 15<br><br><br><br></div>"
"9399","F,V,R,H","F,T,R,Q","2","4","operation-span-recall","83","198742","0.0-9.0-1.0",""
"1196","","","1","","html-button-operationspan","86","202770","0.0-9.0-0.1-1.4","<div style=""font-size:46px;"">10 - 1 = 9<br><br><br><br></div>"
"1033","","","1","","html-button-operationspan","89","204818","0.0-9.0-0.1-1.5","<div style=""font-size:46px;"">4 + 10 = 14<br><br><br><br></div>"
"1355","","","1","","html-button-operationspan","92","207180","0.0-9.0-0.1-1.6","<div style=""font-size:46px;"">4 - 3 = 3<br><br><br><br></div>"
"1737","","","1","","html-button-operationspan","95","209933","0.0-9.0-0.1-1.7","<div style=""font-size:46px;"">10 - 7 = 1<br><br><br><br></div>"
"9346","V,R,N,L","V,R,N,L","4","4","operation-span-recall","97","219285","0.0-9.0-1.1",""
"1488","","","1","","html-button-operationspan","100","223042","0.0-9.0-0.2-1.8","<div style=""font-size:46px;"">2 - 1 = 3<br><br><br><br></div>"
"1022","","","1","","html-button-operationspan","103","225075","0.0-9.0-0.2-1.9","<div style=""font-size:46px;"">5 + 2 = 6<br><br><br><br></div>"
"1623","","","1","","html-button-operationspan","106","227708","0.0-9.0-0.2-1.10","<div style=""font-size:46px;"">10 - 4 = 7<br><br><br><br></div>"
"1257","","","1","","html-button-operationspan","109","229973","0.0-9.0-0.2-1.11","<div style=""font-size:46px;"">6 - 3 = 2<br><br><br><br></div>"
"4500","V,Q,F,P","V,Q,F,P","4","4","operation-span-recall","111","234480","0.0-9.0-1.2",""
"1242","","","1","","html-button-operationspan","114","238155","0.0-9.0-0.3-1.12","<div style=""font-size:46px;"">9 + 9 = 18<br><br><br><br></div>"
"1071","","","1","","html-button-operationspan","117","240233","0.0-9.0-0.3-1.13","<div style=""font-size:46px;"">3 + 5 = 8<br><br><br><br></div>"
"997","","","1","","html-button-operationspan","120","242243","0.0-9.0-0.3-1.14","<div style=""font-size:46px;"">8 + 8 = 16<br><br><br><br></div>"
"1178","","","1","","html-button-operationspan","123","244433","0.0-9.0-0.3-1.15","<div style=""font-size:46px;"">10 + 7 = 16<br><br><br><br></div>"
