"","id","submitdate","lastpage","startlanguage","q_","startdate","datestamp","dmAge","dmSex","dmLivingSit","dmLivingSitRoommate","dmLivingSitPpl","dmFinance_SQ001","sl_SQ001","sl_SQ002","sl_SQ003","sl_SQ006","sl_SQ004","sl_SQ005","sl_SQ007","kdAufbau","kdMaterialien","kdAktivitaeten_Mitarbeit","kdAktivitaeten_Vorbereitung","kdAktivitaeten_Referat","kdAktivitaeten_Nichts","kdPruefung_Klausur","kdPruefung_Hausarbeit","kdPruefung_Hausaufgaben","kdPruefung_other","kdRueckmeldung","kdRueckmeldezeit_SQ001","kdQualitaet_klarheit1","kdQualitaet_lernklima1","kdQualitaet_feed_deep1","kdQualitaet_feed_freq1","kdQualitaet_lernklima2","kdQualitaet_aktivierung1","kdQualitaet_feed_deep2","kdQualitaet_lernklima3","kdQualitaet_motivierung1","kdQualitaet_fragen1","kdQualitaet_klarheit2","kdQualitaet_feed_freq2","kdQualitaet_vielfalt1","kdQualitaet_aktivierung2","kdQualitaet_feed_deep3","kdQualitaet_motivierung2","kdQualitaet_feed_freq3","kdQualitaet_motivierung3","kdQualitaet_interaktion1","kdQualitaet_aktivierung3","kdQualitaet_vielfalt2","kdQualitaet_aktivierung4","kdQualitaet_fragen2","kdQualitaet_klarheit3","kdQualitaet_verteilung1","kdQualitaet_feed_deep4","kdQualitaet_motivierung4","kdQualitaet_verteilung2","kdQualitaet_vielfalt3","kdQualitaet_fragen3","kdQualitaet_interaktion2","kdQualitaet_verteilung3","kdQualitaet_interaktion3","kdQualitaetWahl_zeitpunkt","kdQualitaetWahl_inhalt","kdQualitaetWahl_methode","kdQualitaetAufwand_aufwand","kdQualitaetAufwand_menge","kdQualitaetAufwand_zeit","hsf1_VVW01","hsf1_VSL01","hsf1_KIZ01","hsf1_RAB01","hsf1_VUL01","hsf1_UA02","hsf1_MIW01","hsf1_MSW01","hsf1_TTL02","hsf1_PU02","hsf1_RRB03","hsf1_TTK01","hsf1_MPR03","hsf1_A02","hsf1_MLM01","hsf1_TTF01","hsf1_RFL01","hsf1_UVG02","hsf1_MWL02","hsf1_MNL02","hsf1_PMK01","hsf1_PU03","hsf1_RNE01","hsf1_ZSP03","hsf2_VSL02","hsf2_TTK02","hsf2_TTL03","hsf2_RFL02","hsf2_MSW02","hsf2_VUL02","hsf2_MIW02","hsf2_MNL03","hsf2_KIZ02","hsf2_TUT02","hsf2_RKP03","hsf2_VVW02","hsf2_VKL03","hsf2_ZSME01","hsf2_RAB02","hsf2_RV03","hsf2_MWL03","hsf2_RZM03","hsf2_UVG03","hsf2_RNE02","hsf2_MLM02","hsf2_PMK02","hsf2_MKL01","hsf2_UEW02","hsf3_VVW03","hsf3_VSL03","hsf3_MSW03","hsf3_ZSME02","hsf3_RKP02","hsf3_RFL03","hsf3_MPR01","hsf3_RZM02","hsf3_TUT03","hsf3_A03","hsf3_MKL02","hsf3_TTK03","hsf3_UEL03","hsf3_VKL02","hsf3_RV02","hsf3_MLM03","hsf3_TTF02","hsf3_KIZ03","hsf3_UEW03","hsf3_MIW03","hsf3_RRB02","hsf3_PMK03","hsf3_ZSP01","hsf3_UEL02","hsf4_VKL01","hsf4_RKP01","hsf4_TTL01","hsf4_RAB03","hsf4_UA01","hsf4_MNL01","hsf4_MPR02","hsf4_VUL03","hsf4_UVG01","hsf4_MWL01","hsf4_RNE03","hsf4_RZM01","hsf4_ZSME03","hsf4_TTF03","hsf4_MKL03","hsf4_A01","hsf4_RRB01","hsf4_UEL01","hsf4_RV01","hsf4_TUT01","hsf4_UA03","hsf4_UEW01","hsf4_PU01","hsf4_ZSP02","hsf4Study","gh_SQ001","gh_SQ002","gh_SQ003","gh_SQ004","gh_SQ005","gh_SQ006","gh_SQ007","gh_SQ008","gh_SQ009","gh_SQ010","gh_SQ011","location","kd_klarheit","kd_motivierung","kd_aktivierung","kd_lernklima","kd_interaktion","kd_feedbacktiefe","kd_feedbackfrequenz","kd_vielfalt","kd_fragen","kd_aufwand","kd_verteilung","kd_wahl","regulationserfolg","pcog_vorwissen","pcog_komplex","pcog_schwierig","pcog_extraneous","pmet_anforderungen","pmet_zielmangel","pmet_zielqualitaet","pmet_vorgehenmangel","pmet_vorgehenunklar","pmet_vorgehenqualitaet","pmet_anpassung","pmet_flexibilitaet","pmet_zeitnutzung","pmet_monitoring","pmet_evaluation","pmot_utility","pmot_attainment","pmot_intrinsic","pmot_cost","pmot_vorgehensweise","pmot_selbstwirksam","pmot_prokrastination","pmot_emotionen","pres_umfeld","pres_ablenkung","pres_zeitmangel","pres_koerper","pres_material","prest_voraussetzungen","prest_dysfunktional","prest_leistung","prest_kenntnisse","gewissenhaftigkeit","Regelmaessig","kdAufbau_interaktiv","kdAufbau_synchron","P_Verständnis","P_Metakognition","P_Motivation","P_Ressourcen_Selbst","P_Ressourcen_Kurs","P_Ressouren_Technik","Probleme_gesamt","suboptimal_study","gh_ordnungsliebe","gh_fleiss","gh_verlaesslichkeit"
"1",75,"2021-02-11 11:29:55",13,"de",1017646790,"2021-02-11 10:52:37","2021-02-11 11:29:55",25,"male","WG",2,2,1,1,5,4,6,3,3,2,"interaktiv-synchron",1,1,1,1,0,0,1,0,"",99,NA,5,6,5,1,6,5,1,6,3,6,5,3,4,3,1,5,1,5,6,5,1,5,3,6,3,1,4,3,5,5,6,5,6,1,1,1,3,5,3,2,2,2,1,1,1,1,2,1,2,2,1,5,1,1,1,4,1,1,1,3,2,5,2,2,2,1,3,3,1,1,1,3,1,1,1,1,3,2,2,3,3,2,4,2,3,2,4,1,2,2,3,3,3,5,5,1,4,3,1,2,1,2,1,1,4,2,1,2,3,2,3,1,5,2,3,2,1,5,3,1,1,5,5,2,1,3,5,2,3,2,1,1,3,2,2,"A2",1,1,1,1,1,5,3,4,1,3,1,"Augsburg",5.33333333333333,4.25,4.5,6,6,2,1.66666666666667,3.33333333333333,4.66666666666667,3.66666666666667,5,1,3,1.33333333333333,1,2,1.66666666666667,1.33333333333333,2,2.66666666666667,3,1.33333333333333,2,3.33333333333333,2,3,2.66666666666667,3,1,1.66666666666667,1,2.66666666666667,1.33333333333333,2.33333333333333,5,4.66666666666667,2,2,4.33333333333333,3,3.33333333333333,1,1,1.33333333333333,1.33333333333333,2,0.666666666666667,1,1,1.66666666666667,2.30769230769231,1.58333333333333,2.88888888888889,2.11111111111111,1.16666666666667,2.18572874493927,3.5,2.33333333333333,1.66666666666667,2
"2",37,"2021-02-10 11:05:50",13,"de",1961079282,"2021-02-10 10:51:50","2021-02-10 11:05:50",20,"female","Elternhaus",2,4,2,2,3,4,2,1,2,2,"Materialbasiert-asynchron",1,1,0,0,0,1,0,0,"",1,6,5,6,6,4,6,5,2,6,6,6,4,5,4,6,3,3,4,5,5,5,2,2,5,5,2,2,5,4,2,5,5,5,6,3,2,2,3,3,3,2,2,2,3,1,1,2,2,4,3,3,3,2,2,1,4,3,1,1,1,3,3,2,2,2,3,4,2,3,2,1,1,2,4,2,2,4,2,3,2,1,3,2,2,3,3,2,3,2,2,2,3,3,2,2,2,4,3,4,3,3,2,2,2,3,3,3,2,2,2,2,2,1,1,4,3,2,1,3,3,3,2,3,3,4,4,3,2,3,2,2,3,2,4,2,2,"A2",5,4,3,3,4,4,4,4,4,3,4,"Augsburg",4.66666666666667,4.75,4.5,6,5.33333333333333,3.25,4.33333333333333,2.66666666666667,5.33333333333333,3,5,2.33333333333333,3,2,2.33333333333333,2,2,1.66666666666667,2,3,2.66666666666667,2,2.66666666666667,2.33333333333333,2,2.33333333333333,2.33333333333333,3.33333333333333,1,1.33333333333333,1.66666666666667,3,2,2.33333333333333,2.33333333333333,2.33333333333333,2.66666666666667,3,2.66666666666667,2,2.33333333333333,3.66666666666667,3.66666666666667,4,3,3.88888888888889,0.333333333333333,0,0,2.16666666666667,2.07692307692308,1.75,2.44444444444444,2,3.58333333333333,2.41284300494827,2.75,4.33333333333333,3.66666666666667,3.66666666666667
"3",40,"2021-02-10 11:52:35",13,"de",1669386794,"2021-02-10 11:30:48","2021-02-10 11:52:35",21,"male","Elternhaus",2,3,3,2,2,6,6,4,4,2,"interaktiv-synchron",0,1,1,1,0,0,1,0,"",1,6,5,2,5,3,4,2,1,6,5,6,5,5,6,5,3,4,4,5,6,6,6,5,4,5,4,4,4,5,5,6,6,5,6,6,5,4,4,5,3,2,3,1,4,1,2,1,1,4,3,4,2,2,3,3,2,1,1,1,5,4,1,3,2,2,3,3,1,2,1,1,1,2,2,1,1,2,2,4,3,1,1,1,1,1,1,2,2,2,3,2,1,3,2,4,3,1,3,2,4,4,1,2,1,3,2,1,1,4,2,1,1,2,4,3,4,2,1,2,3,2,1,3,3,2,3,1,1,4,3,2,1,2,2,1,2,"A2",4,3,4,2,2,5,4,5,5,4,4,"Augsburg",5,4.5,4.5,4,6,3.25,4,5.66666666666667,5.33333333333333,4,5,5,5,1.66666666666667,1.66666666666667,2.66666666666667,1.66666666666667,2,1.66666666666667,1.66666666666667,2.33333333333333,1.33333333333333,1.66666666666667,2.33333333333333,2.33333333333333,1.66666666666667,2.66666666666667,1.66666666666667,2.33333333333333,1,1,1.66666666666667,1.66666666666667,1.66666666666667,2.66666666666667,2.33333333333333,4,4,2.33333333333333,2.66666666666667,1.33333333333333,1.33333333333333,2.66666666666667,3.33333333333333,3,3.77777777777778,0.333333333333333,1,1,1.91666666666667,1.69230769230769,1.5,2.83333333333333,1.66666666666667,2.58333333333333,2.11032388663968,3.5,4.66666666666667,3,3.66666666666667
"4",91,"2021-01-21 12:33:08",14,"de",983806902,"2021-01-21 12:03:07","2021-01-21 12:33:08",22,"male","WG",2,2,3,3,4,4,6,4,1,3,"interaktiv-asynchron",1,0,0,0,1,1,0,0,"",99,NA,4,4,4,3,5,4,2,5,2,3,3,4,3,2,3,2,2,4,4,2,1,2,4,4,3,3,3,2,2,4,4,4,5,4,2,2,4,3,3,3,4,4,3,2,2,4,2,2,2,2,2,5,3,2,2,1,3,4,3,4,3,2,4,3,2,2,1,2,3,3,4,5,1,1,4,2,2,2,2,3,2,4,2,2,5,2,4,4,4,3,2,1,1,4,1,1,3,4,3,3,2,2,2,1,5,4,4,2,5,3,2,3,1,1,2,2,3,4,3,3,4,2,2,5,1,3,2,2,3,2,1,2,3,2,4,"A2",4,2,4,2,3,4,4,4,4,3,3,"Duisburg",3.66666666666667,2.75,2.5,4.66666666666667,4.33333333333333,3,3,2,3.66666666666667,3.33333333333333,4,2.66666666666667,2.66666666666667,3.66666666666667,2.33333333333333,3.66666666666667,2.66666666666667,2,3.66666666666667,3,4.66666666666667,3.33333333333333,2.33333333333333,2.66666666666667,2,4.66666666666667,2.66666666666667,3.66666666666667,3.33333333333333,3.66666666666667,3.66666666666667,3,2,2.33333333333333,4.33333333333333,2,2,2.33333333333333,1.66666666666667,1,1,1,1.33333333333333,1.66666666666667,2.33333333333333,3.44444444444444,0.333333333333333,1,0,3,2.84615384615385,3.41666666666667,1.83333333333333,1.88888888888889,1.58333333333333,2.63776428250112,3,4,2.66666666666667,3.66666666666667
"5",87,"2021-02-11 20:07:10",13,"de",2132990947,"2021-02-11 19:14:25","2021-02-11 20:07:10",23,"male","WG",2,3,2,2,2,2,6,4,1,3,"interaktiv-asynchron",1,1,1,0,0,1,0,1,"",99,NA,6,3,4,5,5,3,2,5,6,6,6,4,2,6,4,6,4,5,5,2,2,2,2,6,4,3,6,5,5,4,3,5,5,1,1,1,4,4,4,1,2,2,1,1,1,1,1,2,1,1,1,3,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,1,4,4,2,3,1,1,2,1,1,1,2,1,2,1,1,1,2,2,2,1,5,3,1,1,1,1,1,1,3,1,1,3,2,2,1,2,3,3,1,3,5,4,3,1,5,4,4,2,2,5,2,1,4,5,2,3,4,1,3,3,2,1,"A2",3,1,2,1,2,5,2,5,4,3,1,"Augsburg",6,5.75,3.25,4.33333333333333,4.33333333333333,3.25,4.33333333333333,3,4,4,5,1,3.33333333333333,2,1.33333333333333,1.33333333333333,2,2.33333333333333,1.66666666666667,2.33333333333333,1.33333333333333,2,1.33333333333333,2.66666666666667,2.66666666666667,2,2.33333333333333,2,1,1.66666666666667,1.66666666666667,2.33333333333333,1.66666666666667,1.33333333333333,4.33333333333333,1.33333333333333,1.33333333333333,2,3,3,1,1,1,3,1.33333333333333,2.77777777777778,1,1,0,1.5,1.8974358974359,1.66666666666667,2.05555555555556,1.77777777777778,1.58333333333333,1.88984480431849,2,4,1.33333333333333,3
"6",10,"2021-02-09 22:02:43",13,"de",1903214568,"2021-02-09 21:42:21","2021-02-09 22:02:43",21,"male","Elternhaus",2,4,3,2,4,4,2,4,2,4,"vortragsbasiert-synchron",1,1,1,0,0,1,0,0,"",99,NA,6,6,6,5,5,5,5,6,3,6,6,6,5,2,6,4,5,5,4,5,4,5,2,5,2,4,5,2,5,6,3,5,5,4,4,3,6,6,6,3,4,2,3,1,1,2,3,3,3,3,2,3,2,1,1,1,2,3,2,4,4,2,2,4,1,1,1,2,1,3,4,3,1,1,2,4,3,4,3,3,3,4,1,3,2,2,2,3,4,4,3,1,1,1,1,1,2,3,1,1,3,3,2,1,2,4,3,2,1,1,1,3,1,3,2,1,3,1,2,2,3,1,1,3,1,2,2,3,1,2,1,1,1,1,1,"A2",3,5,4,5,3,4,4,5,4,5,5,"Augsburg",5.66666666666667,4.25,4.25,5.66666666666667,4,5.25,5.33333333333333,4.66666666666667,4.66666666666667,6,5,3.66666666666667,4.66666666666667,2.66666666666667,3.33333333333333,4,1.33333333333333,1,1.33333333333333,3,2.33333333333333,2.66666666666667,2.66666666666667,2,2.66666666666667,2.33333333333333,1,2.33333333333333,3,3,2.66666666666667,2.33333333333333,2,3,1.66666666666667,1.33333333333333,2.66666666666667,3,1.66666666666667,1,1,1,1,2.33333333333333,1.33333333333333,4.11111111111111,0.666666666666667,0,1,3.25,1.84615384615385,2.75,1.94444444444444,1.11111111111111,1.41666666666667,2.1311853351327,3.5,3.66666666666667,4.66666666666667,4
"7",45,"2021-02-10 13:16:11",13,"de",368319370,"2021-02-10 12:38:25","2021-02-10 13:16:11",22,"female","Elternhaus",2,4,3,2,3,3,4,1,2,1,"interaktiv-synchron",1,1,0,0,0,1,0,0,"",3,4,5,5,4,4,4,3,3,5,4,5,5,5,3,4,3,4,3,4,3,2,2,2,5,4,3,4,4,4,3,4,3,3,4,4,4,4,5,5,4,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,"A2",5,3,3,3,4,5,4,5,4,4,5,"Augsburg",4.66666666666667,4,2.75,4.66666666666667,3.33333333333333,3.5,4,2.66666666666667,4.66666666666667,4.66666666666667,3,4,5.33333333333333,1,1,1.33333333333333,1,1,1,1,1,1,1,1.33333333333333,1,1.66666666666667,1,1,1,1,1,1,1,1.33333333333333,1,1,1.33333333333333,2,2,1.66666666666667,1,1,1,1,1,4,0.333333333333333,1,1,1.16666666666667,0.923076923076923,1,1.5,1,1,1.13832658569501,2.25,4.66666666666667,3.33333333333333,4
"8",48,"2021-02-10 13:21:39",13,"de",318068258,"2021-02-10 13:00:06","2021-02-10 13:21:39",18,"male","Elternhaus",2,4,3,1,3,6,6,6,4,3,"vortragsbasiert-synchron",1,0,1,0,0,1,0,0,"",99,NA,1,2,2,2,1,5,1,2,2,1,1,5,5,4,2,2,2,1,1,1,1,1,4,2,3,1,1,4,1,3,2,4,2,4,1,1,6,6,6,4,5,4,4,3,4,3,5,1,4,4,1,3,4,3,1,1,5,3,5,3,3,5,2,5,1,1,1,5,4,3,5,4,1,1,2,5,3,4,4,2,3,4,3,4,3,3,3,4,5,4,2,2,2,3,3,1,4,2,1,4,3,4,2,1,4,4,3,3,4,2,3,5,3,1,4,4,5,4,4,4,3,4,2,3,1,4,3,2,3,3,2,3,3,4,3,"A2",3,3,4,3,4,4,3,5,3,4,5,"Augsburg",1.33333333333333,1.5,2.75,1.66666666666667,1.66666666666667,1.5,3,2.33333333333333,2.66666666666667,6,4,2,2,3.33333333333333,4.33333333333333,5,3.66666666666667,3.66666666666667,2.33333333333333,2.66666666666667,3.33333333333333,4.33333333333333,3.66666666666667,3.66666666666667,3.66666666666667,4,3.33333333333333,3.33333333333333,5,2.66666666666667,3,3,3,4.66666666666667,3.33333333333333,4,3,4,2.66666666666667,2,1.33333333333333,1.33333333333333,1,1,1,3.55555555555556,0.666666666666667,0,1,4.33333333333333,2.8974358974359,3.41666666666667,3.11111111111111,2.88888888888889,1.08333333333333,3.10695006747638,4,3.33333333333333,3,4.33333333333333
"9",41,"2021-02-10 12:05:22",13,"de",642218508,"2021-02-10 11:40:22","2021-02-10 12:05:22",19,"female","WG",2,4,2,1,3,6,6,5,2,1,"vortragsbasiert-synchron",1,1,1,0,0,0,1,0,"",99,NA,6,5,6,1,5,4,1,6,2,6,5,6,2,2,5,6,2,3,5,2,1,3,4,2,2,2,4,2,1,5,4,2,4,6,3,1,5,4,3,5,3,4,5,5,2,3,5,1,4,2,5,5,4,2,1,2,4,5,4,4,5,3,4,3,4,5,1,4,5,2,3,5,1,1,4,4,1,5,1,3,1,4,1,1,5,2,5,4,2,5,4,2,1,5,1,1,4,2,5,4,2,4,2,4,5,4,3,1,5,5,2,2,1,1,5,3,3,5,4,4,3,1,5,5,2,4,2,2,5,4,2,4,5,4,5,"A2",1,3,4,1,1,3,2,5,3,2,1,"Augsburg",4.33333333333333,3.75,2.75,5.33333333333333,4.33333333333333,3.5,3,1.33333333333333,5,4,2,3.33333333333333,4.33333333333333,4.33333333333333,2.66666666666667,2.66666666666667,4.66666666666667,3,4.66666666666667,3.33333333333333,4.66666666666667,4,4.33333333333333,3.33333333333333,3,4.66666666666667,3.66666666666667,4.66666666666667,3.33333333333333,3.66666666666667,2.66666666666667,2.66666666666667,1.66666666666667,4.66666666666667,5,1.66666666666667,1.66666666666667,5,2.33333333333333,1.33333333333333,1.33333333333333,1.33333333333333,2.33333333333333,2.33333333333333,4.66666666666667,2.55555555555556,0.666666666666667,0,1,3.58333333333333,3.48717948717949,3.08333333333333,2.27777777777778,3,2.66666666666667,3.24820062977958,3,2.33333333333333,2,3.33333333333333
"10",139,"2021-02-17 14:22:18",13,"de",207911,"2021-02-17 13:59:36","2021-02-17 14:22:18",20,"male","Elternhaus",2,5,2,3,2,5,6,2,2,2,"vortragsbasiert-synchron",1,1,1,0,0,1,0,1,"",99,NA,6,5,5,4,3,5,4,6,4,5,5,6,5,5,4,4,4,4,5,3,2,4,6,5,2,3,3,6,3,4,4,5,5,1,1,3,5,5,5,2,4,2,3,1,1,2,1,1,1,2,5,5,3,2,1,1,1,4,4,3,3,2,1,4,4,2,1,1,2,2,2,2,1,1,1,3,2,2,2,2,2,1,1,2,3,2,4,3,2,2,4,1,1,1,2,1,4,4,5,4,2,2,2,1,2,5,2,2,2,2,4,2,2,1,2,2,4,2,2,3,4,2,2,2,2,2,2,1,2,2,1,1,4,2,2,"A2",4,1,4,1,2,5,4,5,3,4,2,"Augsburg",5.33333333333333,3.75,4.25,4.66666666666667,4.66666666666667,4,4.66666666666667,3.33333333333333,5,5,5,1.66666666666667,3,2,2.33333333333333,3.33333333333333,1.66666666666667,1.33333333333333,1.66666666666667,2.66666666666667,2.66666666666667,1.66666666666667,2,3,2,2,3.33333333333333,4.33333333333333,3.33333333333333,3.33333333333333,2,2.66666666666667,2,1.33333333333333,2.66666666666667,1.66666666666667,1.66666666666667,2.33333333333333,2,1.33333333333333,1,1,1.33333333333333,1.33333333333333,4.66666666666667,3.22222222222222,1,0,1,2.25,2.15384615384615,2.83333333333333,1.83333333333333,1.33333333333333,2.08333333333333,2.21457489878543,2.75,4,2,3.66666666666667
