"","VARIABLE.SEPAL_LENGTH","VARIABLE.SEPAL_WIDTH","VARIABLE.PETAL_LENGTH","VARIABLE.PETAL_WIDTH","type"
"1","5,1","3,5","1,4","0,2","setosa-white"
"2","4,9","3","1,4","0,2","setosa-blue"
"3","4,7","3,2","1,3","0,2","setosa-blue"
"4","4,6","3,1","1,5","0,2","setosa-purple"
"5","5","3,6","1,4","0,2","setosa-purple"
"6","5,4","3,9","1,7","0,4","setosa-purple"
"7","4,6","3,4","1,4","0,3","setosa-white"
"8","5","3,4","1,5","0,2","setosa-white"
"9","4,4","2,9","1,4","0,2","setosa-white"
"10","4,9","3,1","1,5","0,1","setosa-purple"
"11","5,4","3,7","1,5","0,2","setosa-white"
"12","4,8","3,4","1,6","0,2","setosa-white"
"13","4,8","3","1,4","0,1","setosa-white"
"14","4,3","3","1,1","0,1","setosa-white"
"15","5,8","4","1,2","0,2","setosa-blue"
"16","5,7","4,4","1,5","0,4","setosa-blue"
"17","5,4","3,9","1,3","0,4","setosa-purple"
"18","5,1","3,5","1,4","0,3","setosa-blue"
"19","5,7","3,8","1,7","0,3","setosa-blue"
"20","5,1","3,8","1,5","0,3","setosa-blue"
"21","5,4","3,4","1,7","0,2","setosa-blue"
"22","5,1","3,7","1,5","0,4","setosa-purple"
"23","4,6","3,6","1","0,2","setosa-purple"
"24","5,1","3,3","1,7","0,5","setosa-purple"
"25","4,8","3,4","1,9","0,2","setosa-purple"
"26","5","3","1,6","0,2","setosa-blue"
"27","5","3,4","1,6","0,4","setosa-purple"
"28","5,2","3,5","1,5","0,2","setosa-white"
"29","5,2","3,4","1,4","0,2","setosa-white"
"30","4,7","3,2","1,6","0,2","setosa-blue"
"31","4,8","3,1","1,6","0,2","setosa-purple"
"32","5,4","3,4","1,5","0,4","setosa-blue"
"33","5,2","4,1","1,5","0,1","setosa-white"
"34","5,5","4,2","1,4","0,2","setosa-purple"
"35","4,9","3,1","1,5","0,1","setosa-white"
"36","5","3,2","1,2","0,2","setosa-blue"
"37","5,5","3,5","1,3","0,2","setosa-blue"
"38","4,9","3,1","1,5","0,1","setosa-purple"
"39","4,4","3","1,3","0,2","setosa-blue"
"40","5,1","3,4","1,5","0,2","setosa-purple"
"41","5","3,5","1,3","0,3","setosa-purple"
"42","4,5","2,3","1,3","0,3","setosa-white"
"43","4,4","3,2","1,3","0,2","setosa-purple"
"44","5","3,5","1,6","0,6","setosa-blue"
"45","5,1","3,8","1,9","0,4","setosa-white"
"46","4,8","3","1,4","0,3","setosa-blue"
"47","5,1","3,8","1,6","0,2","setosa-blue"
"48","4,6","3,2","1,4","0,2","setosa-white"
"49","5,3","3,7","1,5","0,2","setosa-blue"
"50","5","3,3","1,4","0,2","setosa-blue"
"51","7","3,2","4,7","1,4","versicolor-blue"
"52","6,4","3,2","4,5","1,5","versicolor-blue"
"53","6,9","3,1","4,9","1,5","versicolor-white"
"54","5,5","2,3","4","1,3","versicolor-white"
"55","6,5","2,8","4,6","1,5","versicolor-white"
"56","5,7","2,8","4,5","1,3","versicolor-purple"
"57","6,3","3,3","4,7","1,6","versicolor-purple"
"58","4,9","2,4","3,3","1","versicolor-white"
"59","6,6","2,9","4,6","1,3","versicolor-blue"
"60","5,2","2,7","3,9","1,4","versicolor-white"
"61","5","2","3,5","1","versicolor-blue"
"62","5,9","3","4,2","1,5","versicolor-white"
"63","6","2,2","4","1","versicolor-blue"
"64","6,1","2,9","4,7","1,4","versicolor-purple"
"65","5,6","2,9","3,6","1,3","versicolor-blue"
"66","6,7","3,1","4,4","1,4","versicolor-white"
"67","5,6","3","4,5","1,5","versicolor-white"
"68","5,8","2,7","4,1","1","versicolor-blue"
"69","6,2","2,2","4,5","1,5","versicolor-blue"
"70","5,6","2,5","3,9","1,1","versicolor-purple"
"71","5,9","3,2","4,8","1,8","versicolor-white"
"72","6,1","2,8","4","1,3","versicolor-white"
"73","6,3","2,5","4,9","1,5","versicolor-purple"
"74","6,1","2,8","4,7","1,2","versicolor-white"
"75","6,4","2,9","4,3","1,3","versicolor-purple"
"76","6,6","3","4,4","1,4","versicolor-blue"
"77","6,8","2,8","4,8","1,4","versicolor-white"
"78","6,7","3","5","1,7","versicolor-purple"
"79","6","2,9","4,5","1,5","versicolor-purple"
"80","5,7","2,6","3,5","1","versicolor-purple"
"81","5,5","2,4","3,8","1,1","versicolor-purple"
"82","5,5","2,4","3,7","1","versicolor-white"
"83","5,8","2,7","3,9","1,2","versicolor-purple"
"84","6","2,7","5,1","1,6","versicolor-white"
"85","5,4","3","4,5","1,5","versicolor-purple"
"86","6","3,4","4,5","1,6","versicolor-white"
"87","6,7","3,1","4,7","1,5","versicolor-white"
"88","6,3","2,3","4,4","1,3","versicolor-purple"
"89","5,6","3","4,1","1,3","versicolor-purple"
"90","5,5","2,5","4","1,3","versicolor-blue"
"91","5,5","2,6","4,4","1,2","versicolor-purple"
"92","6,1","3","4,6","1,4","versicolor-purple"
"93","5,8","2,6","4","1,2","versicolor-purple"
"94","5","2,3","3,3","1","versicolor-white"
"95","5,6","2,7","4,2","1,3","versicolor-purple"
"96","5,7","3","4,2","1,2","versicolor-blue"
"97","5,7","2,9","4,2","1,3","versicolor-white"
"98","6,2","2,9","4,3","1,3","versicolor-blue"
"99","5,1","2,5","3","1,1","versicolor-white"
"100","5,7","2,8","4,1","1,3","versicolor-purple"
"101","6,3","3,3","6","2,5","virginica-purple"
"102","5,8","2,7","5,1","1,9","virginica-blue"
"103","7,1","3","5,9","2,1","virginica-blue"
"104","6,3","2,9","5,6","1,8","virginica-purple"
"105","6,5","3","5,8","2,2","virginica-blue"
"106","7,6","3","6,6","2,1","virginica-white"
"107","4,9","2,5","4,5","1,7","virginica-purple"
"108","7,3","2,9","6,3","1,8","virginica-white"
"109","6,7","2,5","5,8","1,8","virginica-white"
"110","7,2","3,6","6,1","2,5","virginica-purple"
"111","6,5","3,2","5,1","2","virginica-purple"
"112","6,4","2,7","5,3","1,9","virginica-blue"
"113","6,8","3","5,5","2,1","virginica-white"
"114","5,7","2,5","5","2","virginica-white"
"115","5,8","2,8","5,1","2,4","virginica-blue"
"116","6,4","3,2","5,3","2,3","virginica-white"
"117","6,5","3","5,5","1,8","virginica-white"
"118","7,7","3,8","6,7","2,2","virginica-blue"
"119","7,7","2,6","6,9","2,3","virginica-purple"
"120","6","2,2","5","1,5","virginica-purple"
"121","6,9","3,2","5,7","2,3","virginica-purple"
"122","5,6","2,8","4,9","2","virginica-white"
"123","7,7","2,8","6,7","2","virginica-white"
"124","6,3","2,7","4,9","1,8","virginica-white"
"125","6,7","3,3","5,7","2,1","virginica-purple"
"126","7,2","3,2","6","1,8","virginica-white"
"127","6,2","2,8","4,8","1,8","virginica-purple"
"128","6,1","3","4,9","1,8","virginica-purple"
"129","6,4","2,8","5,6","2,1","virginica-blue"
"130","7,2","3","5,8","1,6","virginica-blue"
"131","7,4","2,8","6,1","1,9","virginica-blue"
"132","7,9","3,8","6,4","2","virginica-blue"
"133","6,4","2,8","5,6","2,2","virginica-purple"
"134","6,3","2,8","5,1","1,5","virginica-blue"
"135","6,1","2,6","5,6","1,4","virginica-blue"
"136","7,7","3","6,1","2,3","virginica-white"
"137","6,3","3,4","5,6","2,4","virginica-purple"
"138","6,4","3,1","5,5","1,8","virginica-white"
"139","6","3","4,8","1,8","virginica-blue"
"140","6,9","3,1","5,4","2,1","virginica-purple"
"141","6,7","3,1","5,6","2,4","virginica-purple"
"142","6,9","3,1","5,1","2,3","virginica-white"
"143","5,8","2,7","5,1","1,9","virginica-blue"
"144","6,8","3,2","5,9","2,3","virginica-blue"
"145","6,7","3,3","5,7","2,5","virginica-blue"
"146","6,7","3","5,2","2,3","virginica-white"
"147","6,3","2,5","5","1,9","virginica-blue"
"148","6,5","3","5,2","2","virginica-white"
"149","6,2","3,4","5,4","2,3","virginica-blue"
"150","5,9","3","5,1","1,8","virginica-blue"
